tweet_id,source,name,dog_stage,rating_numerator,rating_denominator,favorite_count,retweet_count,jpg_url,full_text,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,date,time
667549055577362432,Twitter Web Client,None,,1.0,10.0,6043,2425,https://pbs.twimg.com/media/CUOcVCwWsAERUKY.jpg,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,Electric fan,0.984377,False,Spotlight,0.00773671,False,Lampshade,0.00190123,False,11-20-2015,03:44
667544320556335104,Twitter Web Client,Kial,,4.0,10.0,903,556,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",Pomeranian,0.412893,True,Pembroke,0.312958,True,Chihuahua,0.0719604,True,11-20-2015,03:25
667538891197542400,Twitter Web Client,a,,9.0,10.0,213,72,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",Yorkshire terrier,0.618957,True,Silky terrier,0.300313,True,Australian terrier,0.053412,True,11-20-2015,03:04
667534815156183040,Twitter Web Client,Frank,,8.0,10.0,853,568,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",Pembroke,0.435254,True,Cardigan,0.30740700000000004,True,Cocker spaniel,0.0331583,True,11-20-2015,02:47
667524857454854144,Twitter Web Client,None,,12.0,10.0,1770,1180,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,Hare,0.447893,False,Dhole,0.0924353,False,Chesapeake bay retriever,0.08812239999999999,True,11-20-2015,02:08
667517642048163840,Twitter Web Client,Dook,,8.0,10.0,385,200,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,Italian greyhound,0.125176,True,Standard poodle,0.08457150000000001,True,Cocker spaniel,0.0813469,True,11-20-2015,01:39
667509364010450944,Twitter Web Client,None,,12.0,10.0,7056,2238,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,Beagle,0.636169,True,Labrador retriever,0.119256,True,Golden retriever,0.08254919999999999,True,11-20-2015,01:06
667491009379606528,Twitter Web Client,None,,8.0,10.0,552,237,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,Borzoi,0.852088,True,Ice bear,0.13226400000000002,False,Weasel,0.00572998,False,11-19-2015,23:53
667530908589760512,Twitter Web Client,Naphaniel,,10.0,10.0,493,257,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",Golden retriever,0.633037,True,Kuvasz,0.14639100000000002,True,Labrador retriever,0.0461837,True,11-20-2015,02:32
667470559035432960,Twitter Web Client,a,,11.0,10.0,269,101,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,Toy poodle,0.304175,True,Pug,0.223427,True,Lakeland terrier,0.07331649999999999,True,11-19-2015,22:32
667728196545200128,Twitter Web Client,Olive,,11.0,10.0,388,159,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,Kuvasz,0.360159,True,Golden retriever,0.293744,True,Labrador retriever,0.270673,True,11-20-2015,15:36
667911425562669056,Twitter for iPhone,None,,5.0,10.0,515,323,https://pbs.twimg.com/media/CUTl5m1WUAAabZG.jpg,Wow. Armored dog here. Ready for battle. Face looks dangerous. Not very loyal. Lil dog on back havin a blast. 5/10 https://t.co/SyMoWrp368,Frilled lizard,0.257695,False,Ox,0.23516,False,Triceratops,0.0853169,False,11-21-2015,03:44
667902449697558528,Twitter for iPhone,Cleopatricia,,9.0,10.0,882,392,https://pbs.twimg.com/media/CUTdvAJXIAAMS4q.jpg,This is Cleopatricia. She is a northern Paperback Maple. Set up hammock somehow. 9/10 would chill in hammock with https://t.co/sJeHdGUt0W,Norwegian elkhound,0.298881,True,Malamute,0.279479,True,Eskimo dog,0.198428,True,11-21-2015,03:08
667886921285246976,Twitter for iPhone,Erik,,11.0,10.0,1975,1160,https://pbs.twimg.com/media/CUTPnPCW4AI7R0y.jpg,This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1,Pomeranian,0.8004319999999999,True,Pekinese,0.168445,True,Chihuahua,0.00894952,True,11-21-2015,02:07
667766675769573376,Twitter Web Client,Calvin,,9.0,10.0,466,234,https://pbs.twimg.com/media/CURiQMnUAAAPT2M.jpg,This is Calvin. He is a Luxembourgian Mayo. Having issues with truck. Has it under control tho. 9/10 responsible af https://t.co/3Bbba7y8Xe,Fire engine,0.8834930000000001,False,Tow truck,0.07473389999999999,False,Jeep,0.0127726,False,11-20-2015,18:09
667873844930215936,Twitter for iPhone,None,,10.0,10.0,657,433,https://pbs.twimg.com/media/CUTDtyGXIAARxus.jpg,Neat dog. Lots of spikes. Always in push-up position. Laid a shit ton of eggs earlier. Super stellar pup. 10/10 https://t.co/ODqrL3zXYE,Common iguana,0.999647,False,Frilled lizard,0.00018115,False,African chameleon,0.000128357,False,11-21-2015,01:15
667861340749471744,Twitter for iPhone,a,,9.0,10.0,251,84,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba,Malamute,0.967275,True,Siberian husky,0.0161675,True,Eskimo dog,0.0112774,True,11-21-2015,00:25
667832474953625600,Twitter for iPhone,None,,12.0,10.0,297,68,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",Miniature pinscher,0.2142,True,Bath towel,0.146789,False,Chihuahua,0.104152,True,11-20-2015,22:30
667806454573760512,Twitter for iPhone,Filup,,10.0,10.0,1091,527,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,Toyshop,0.253089,False,Chihuahua,0.187155,True,Brabancon griffon,0.112799,True,11-20-2015,20:47
